resource_name,description,size_px
占位_category_tool,地上物品分类默认图·工具,64×64
占位_category_weapon,地上物品分类默认图·武器,64×64
占位_mat_bark_stack,地上材料堆·树皮,96×96
占位_mat_bone_stack,地上材料堆·骨头,96×96
占位_mat_chitin_stack,地上材料堆·甲壳,96×96
占位_mat_cloth_stack,地上材料堆·布料,96×96
占位_mat_crystal_stack,地上材料堆·水晶,96×96
占位_mat_devilstrand_stack,地上材料堆·魔丝,96×96
占位_mat_flesh_stack,地上材料堆·肉/组织,96×96
占位_mat_gold_stack,地上材料堆·金,96×96
占位_mat_granite_stack,地上材料堆·花岗岩,96×96
占位_mat_horn_stack,地上材料堆·角,96×96
占位_mat_iron_stack,地上材料堆·铁,96×96
占位_mat_jade_stack,地上材料堆·玉,96×96
占位_mat_leather_stack,地上材料堆·皮革,96×96
占位_mat_obsidian_stack,地上材料堆·黑曜石,96×96
占位_mat_plasteel_stack,地上材料堆·塑钢,96×96
占位_mat_scale_stack,地上材料堆·鳞片,96×96
占位_mat_silk_stack,地上材料堆·丝绸,96×96
占位_mat_silver_stack,地上材料堆·银,96×96
占位_mat_slime_stack,地上材料堆·黏液,96×96
占位_mat_soil_stack,地上材料堆·土壤,96×96
占位_mat_steel_stack,地上材料堆·钢,96×96
占位_mat_stone_stack,地上材料堆·石块,96×96
占位_mat_uranium_stack,地上材料堆·铀,96×96
占位_mat_wood_stack,地上材料堆·木材,96×96
